City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
254,waingapu,-9.6567,120.2641,299.15,81,100,1.56,ID,1712094796
255,las palmas de gran canaria,28.0997,-15.4134,293.22,68,20,5.14,ES,1712094653
256,porto murtinho,-21.6989,-57.8825,303.61,57,83,2.56,BR,1712094796
257,mankono,8.0586,-6.1897,303.8,48,29,2.15,CI,1712094796
258,hadibu,12.65,54.0333,299.62,76,90,3.33,YE,1712094797
259,camana,-16.6228,-72.7111,295.59,73,22,2.53,PE,1712094797
260,juuka,63.2333,29.25,268.12,89,100,6.47,FI,1712094797
261,taulaga,-11.0553,-171.0883,300.85,81,100,4.5,AS,1712094797
262,zaozersk,69.4005,32.4476,255.16,97,61,3.12,RU,1712094798
263,klyuchi,52.2667,79.1667,273.36,95,91,2.91,RU,1712094798
264,newport,51.5877,-2.9984,284.69,95,98,5.86,GB,1712094653
265,aplahoue,6.9333,1.6833,300.97,77,100,2.87,BJ,1712094798
266,crane,31.3974,-102.3501,292.36,22,81,6.8,US,1712094799
267,bikramganj,25.2,84.25,297.93,20,99,2.77,IN,1712094799
268,kasama,-10.2129,31.1808,289.98,98,26,1.7,ZM,1712094799
269,ranot,7.7777,100.3213,301.36,77,93,2.32,TH,1712094799
270,palikir - national government center,6.9248,158.1611,301.56,74,75,6.17,FM,1712094799
271,fujin,47.26,132.0322,274.4,80,98,2.33,CN,1712094800
272,lompoc,34.6391,-120.4579,295.34,57,0,6.17,US,1712094798
273,porto novo,6.4965,2.6036,304.05,82,90,3.62,BJ,1712094800
274,enewetak,11.3474,162.3373,299.91,83,94,9.88,MH,1712094800
275,gizo,-8.103,156.8419,301.48,78,88,2.89,SB,1712094800
276,tralee,52.2704,-9.7026,280.75,96,100,1.64,IE,1712094801
277,malabar,-33.9667,151.25,293.78,59,40,2.57,AU,1712094801
278,kapuskasing,49.4169,-82.4331,280.15,26,75,5.66,CA,1712094801
279,kolonia,50.9333,6.95,284.85,83,40,4.12,DE,1712094665
280,katsuura,35.1333,140.3,289.16,77,97,4.39,JP,1712094802
281,mar del plata,-38.0023,-57.5575,292.16,67,0,15.2,AR,1712094602
282,andrews,32.3187,-102.5457,291.12,21,40,8.23,US,1712094568
283,guayaramerin,-10.8368,-65.3614,302.21,71,61,1.24,BO,1712094802
284,santa maria da boa vista,-8.8078,-39.8256,303.14,54,100,2.38,BR,1712094505
285,karachi,24.9056,67.0822,298.05,73,90,3.09,PK,1712094803
286,abhar,36.1468,49.218,281.79,49,100,0.34,IR,1712094803
287,nanjing,32.0617,118.7778,288.1,95,100,4.8,CN,1712094604
288,hithadhoo,-0.6,73.0833,301.49,75,80,1.86,MV,1712094803
289,alesund,62.4723,6.1549,276.35,55,48,13.89,NO,1712094602
290,itacarambi,-15.1022,-44.0919,296.67,91,100,1.17,BR,1712094804
291,malango,-2.9627,119.9001,293.81,97,100,0.48,ID,1712094804
292,hounde,11.5,-3.5167,310.46,14,94,5.11,BF,1712094804
293,kelibia,36.8476,11.0939,287.29,88,49,0.51,TN,1712094804
294,bambous,-20.2567,57.4061,298.68,90,100,0.45,MU,1712094544
295,taupo,-38.6833,176.0833,289.19,65,75,1.24,NZ,1712094805
296,aver-o-mar,41.4078,-8.7812,288.46,88,75,5.14,PT,1712094805
297,tehuixtla,18.55,-99.2667,309.79,10,66,4.52,MX,1712094805
298,conde,-7.2597,-34.9075,301.85,84,20,4.12,BR,1712094805
299,loa janan,-0.583,117.095,295.84,98,76,1.11,ID,1712094806
300,kawerau,-38.1,176.7,291.75,87,98,0.6,NZ,1712094806
301,broken hill,-31.95,141.4333,286.5,65,0,5.0,AU,1712094806
302,cockburn town,21.4612,-71.1419,298.15,78,12,7.63,TC,1712094806
303,nehe,48.4833,124.8333,272.56,79,18,2.34,CN,1712094807
304,mount isa,-20.7333,139.5,296.02,73,23,5.66,AU,1712094807
305,darwin,-12.4611,130.8418,299.14,93,75,2.57,AU,1712094807
306,mermoz boabab,14.7065,-17.4758,295.46,88,0,3.09,SN,1712094807
307,jiayuguan,39.8167,98.3,280.4,44,99,3.8,CN,1712094808
308,konstantinovka,49.6167,127.9833,272.39,79,90,2.02,RU,1712094808
309,boyolangu,-8.1181,111.8935,298.4,92,78,1.1,ID,1712094808
310,zhangjiakou shi xuanhua qu,40.6103,115.0447,283.42,56,100,2.12,CN,1712094808
311,quellon,-43.1167,-73.6167,282.14,82,99,7.04,CL,1712094809
312,machico,32.7,-16.7667,291.5,79,40,2.06,PT,1712094809
313,madhupur,24.25,86.65,299.54,18,62,2.67,IN,1712094809
314,cole harbour,44.6724,-63.4751,279.92,63,91,2.68,CA,1712094809
315,murray bridge,-35.1167,139.2667,286.67,71,47,1.78,AU,1712094809
316,richards bay,-28.783,32.0377,294.75,91,2,1.7,ZA,1712094679
317,lata,40.1629,-8.3327,283.74,98,16,1.96,PT,1712094810
318,negombo,7.2083,79.8358,299.18,94,75,0.51,LK,1712094810
319,rabaul,-4.1967,152.1721,300.76,74,75,0.15,PG,1712094810
320,oranjemund,-28.55,16.4333,288.77,88,19,3.63,NA,1712094810
321,lieksa,63.3167,30.0167,268.09,87,100,6.33,FI,1712094811
322,cabo san lucas,22.8909,-109.9124,298.76,53,19,4.14,MX,1712094545
323,udachny,66.4167,112.4,262.64,87,100,7.05,RU,1712094811
324,walvis bay,-22.9575,14.5053,288.76,88,1,2.06,NA,1712094811
325,talcahuano,-36.7167,-73.1167,288.97,77,100,3.6,CL,1712094812
326,sorong,-0.8833,131.25,299.82,85,91,3.91,ID,1712094812
327,kayangel,8.0823,134.7173,300.98,80,72,10.53,PW,1712094812
328,saipan,15.1355,145.701,300.73,1,75,4.63,MP,1712094812
329,klaksvik,62.2266,-6.589,274.66,58,100,11.53,FO,1712094812
330,sirte,31.2089,16.5887,291.23,85,0,4.09,LY,1712094813
331,tabou,4.423,-7.3528,301.05,87,38,2.66,CI,1712094813
332,sundsvall,62.3913,17.3063,268.13,63,100,6.17,SE,1712094813
